gene_id	U4-CCD30-1	U2-CCD30-2	U1-cTAL30-1	C2-cTAL30-1	C1-CCD30-1
ENSRNOG00000014713_Csgalnact2	9.93	2.24	3.06	2.28	9.43
ENSRNOG00000006804_Ppp1r42	0.60	0.44	0.81	0.82	0.09
ENSRNOG00000057250_AABR07001905.1	14.43	4.51	6.95	8.22	10.90
ENSRNOG00000051235_C2	1.13	0.05	2.88	1.65	0.53
ENSRNOG00000056705_Taar8b	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000050905_Olr1382	0.00	0.00	0.00	0.20	0.00
ENSRNOG00000031855_Actr3b	0.14	0.00	0.00	0.00	0.63
ENSRNOG00000029512_LOC100361854	189.90	460.24	206.26	180.36	215.79
ENSRNOG00000020726_Sipa1	0.53	0.17	0.61	0.72	0.99
ENSRNOG00000059168_LOC102550392	0.08	0.52	0.00	0.69	0.00
ENSRNOG00000032729_Bex2	27.30	38.28	5.09	13.42	14.60
ENSRNOG00000022364_Dsg4	0.00	0.37	0.00	0.21	0.32
ENSRNOG00000059783_AABR07049631.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000007415_Ptgs1	94.66	6.76	2.08	1.50	64.37
ENSRNOG00000019000_Limk2	8.17	1.17	10.87	12.53	6.58
ENSRNOG00000033980_Wfdc11	0.12	0.59	0.00	0.00	0.28
ENSRNOG00000055840_AABR07063553.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000055737	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000050264_AABR07035357.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000050494_LOC100910567	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000010522_Tlr4	0.44	0.00	0.87	0.55	0.10
ENSRNOG00000052385_AABR07031247.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056762_AABR07016058.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000049893_LOC100910934	0.00	0.12	0.00	0.00	0.46
ENSRNOG00000049058_AABR07003935.9	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000045980_Klk1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000007597_Rhpn1	3.82	0.46	12.21	10.27	1.90
ENSRNOG00000014907_Aldh8a1	2.24	1.39	32.45	25.10	4.62
ENSRNOG00000062078_AABR07006625.1	0.00	0.42	0.00	0.00	1.94
ENSRNOG00000031739_Fam71e1	3.74	3.26	1.23	1.95	1.48
ENSRNOG00000056416_AABR07009910.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000043293_Dppa1	0.00	0.07	0.00	0.11	0.11
ENSRNOG00000039640_Defb17	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000015695_Sult5a1	1.20	1.59	0.97	0.14	0.73
ENSRNOG00000046577_AABR07002409.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000014142_Ogfrl1	0.12	0.26	0.53	0.39	0.32
ENSRNOG00000035540_Mir106b	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000061392_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000055197_AABR07027872.1	0.48	0.00	0.22	0.13	0.07
ENSRNOG00000004398_Pkhd1l1	0.02	0.00	0.00	0.00	0.01
ENSRNOG00000031823_Wfdc6b	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000005271_Rapgef5	6.17	0.78	1.02	0.63	3.94
ENSRNOG00000006997_App	699.35	170.25	185.18	200.01	431.17
ENSRNOG00000004747_Slc30a8	0.00	0.00	0.06	0.15	0.00
ENSRNOG00000027264_Dagla	0.02	0.02	0.07	0.11	0.08
ENSRNOG00000017826_Mtrr	17.80	2.01	17.38	20.87	18.04
ENSRNOG00000050690_Nr2e3	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000042068_Otud7b	1.81	0.56	0.98	1.65	1.45
ENSRNOG00000059448_Vom1r84	0.00	0.00	0.00	0.00	0.11
ENSRNOG00000053767_AABR07008014.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000004221_Lgr5	0.00	0.00	0.07	0.00	0.00
ENSRNOG00000017194_Prdx1	1910.11	2620.24	1037.46	1291.12	1953.04
ENSRNOG00000002833_Gsk3b	8.38	1.70	2.18	2.92	22.33
ENSRNOG00000016948_Nhlrc2	5.29	0.40	1.75	2.74	3.50
ENSRNOG00000020952_Cgn	7.32	0.90	7.27	6.78	5.74
ENSRNOG00000051579_AABR07070129.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000057428_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000009236_Necap1	29.61	10.23	20.98	21.74	35.09
ENSRNOG00000030363_Psma8	0.00	0.42	0.14	0.14	0.00
ENSRNOG00000002664_Emp2	0.21	0.13	3.66	2.71	0.45
