gene_id	C2-cTAL30-1.genes.results	U2-CCD30-2.genes.results	U4-CCD30-1.genes.results	C1-CCD30-1.genes.results	U1-cTAL30-1.genes.results
ENSRNOG00000060084_AC096035.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000042424_Olr880	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000046569_AABR07037477.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000029340_Btnl8	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000060542_Mid2	93.00	155.00	218.00	175.00	66.00
ENSRNOG00000057932_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000054475_AABR07068007.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000022141_Ctdspl2	316.00	206.00	216.00	136.00	222.00
ENSRNOG00000015852_Arhgap35	729.00	505.00	1034.00	1184.00	863.00
ENSRNOG00000061080_Kmt2c	352.80	115.00	648.69	752.14	436.06
ENSRNOG00000036370_AABR07016769.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000001139_Suds3	93.00	322.00	216.00	335.00	110.00
ENSRNOG00000047226_AABR07017656.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000013654_Cbln2	3.00	4.00	0.00	1.00	0.00
ENSRNOG00000032097_AABR07008025.1	1.00	0.00	0.00	0.00	0.00
ENSRNOG00000052827_AABR07052085.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000028403_Ptcd2	446.00	362.00	420.00	251.00	518.00
ENSRNOG00000052644_AABR07001060.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000054228_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000008607_U2surp	746.00	549.00	944.00	811.00	725.00
ENSRNOG00000057356_AABR07072112.1	0.00	0.00	0.00	1.00	0.00
ENSRNOG00000006010_Slc6a20	60.00	37.00	490.00	273.00	276.00
ENSRNOG00000029054_Olr1128	0.00	13.00	0.00	0.00	0.00
ENSRNOG00000052360_LOC103694879	2.81	4.72	0.00	0.00	0.00
ENSRNOG00000058733_Asap1	92.00	3.00	18.00	60.00	92.00
ENSRNOG00000032771_AABR07064811.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000018877_Zfp629	847.00	198.00	423.00	440.00	719.00
ENSRNOG00000056632_AABR07030568.6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000016322_Camk2n1	2.00	15.00	0.00	12.00	3.00
ENSRNOG00000056615_AABR07063640.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000006697_Pip4p2	1036.00	1762.00	2797.00	1903.00	1162.00
ENSRNOG00000039214_Map11	45.69	74.05	129.84	161.68	73.03
ENSRNOG00000028161_Tepsin	319.00	201.00	380.00	283.00	249.00
ENSRNOG00000004104_Zkscan7	70.00	78.00	69.00	123.00	60.00
ENSRNOG00000059322_N4bp2l1	27.00	39.00	44.00	19.00	38.00
ENSRNOG00000057920_AABR07006656.3	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000002524_Gpr37	13.00	155.00	354.00	234.00	24.00
ENSRNOG00000048904_AABR07004232.1	49.92	36.27	6.00	30.23	10.64
ENSRNOG00000007763_Plod1	254.00	25.00	98.00	85.00	162.00
ENSRNOG00000009291_Dnase1l3	0.00	0.00	3.00	2.00	0.00
ENSRNOG00000057627_U2	0.00	1.00	0.00	0.00	0.00
ENSRNOG00000056432_U7	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000014908_Sf3b5	1220.00	2036.00	1287.00	1094.00	1278.00
ENSRNOG00000015160_Gem	101.00	17.00	16.00	18.00	115.00
ENSRNOG00000055743_U3	2.39	42.87	7.64	23.00	7.00
ENSRNOG00000014004_Ncoa7	240.00	96.00	343.00	364.00	456.00
ENSRNOG00000001349_Mcm7	661.00	164.00	503.00	638.00	564.00
ENSRNOG00000032300_Rpl39l	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000050235_Olr1436	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000059900_Bst2	13.00	16.00	5.00	9.00	38.00
ENSRNOG00000051339_AABR07039328.3	4.00	2.00	10.00	2.00	3.00
ENSRNOG00000017074_Rab28	2304.00	1963.00	3091.00	2263.00	2465.00
ENSRNOG00000033402_Gsta6	285.00	197.00	184.00	134.00	479.00
ENSRNOG00000052337_7SK	0.00	0.00	0.00	0.00	1.00
ENSRNOG00000037206_Ccdc77	276.00	291.00	314.00	63.00	445.00
ENSRNOG00000018202_Spata31a5	1.00	0.00	1.00	11.00	3.00
ENSRNOG00000014992_M6pr	2683.88	1105.00	3512.76	2884.35	3633.06
ENSRNOG00000052474_AABR07070714.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000056710_AABR07024381.2	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000020374_Tmem8a	390.00	306.00	699.00	1314.00	743.00
ENSRNOG00000058703_AABR07037176.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000016818_Fgfr3	5.00	5.00	125.00	61.00	14.00
ENSRNOG00000051182_AABR07072158.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000046401_AABR07065886.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000018097_Emc1	531.00	306.00	907.00	566.88	608.00
ENSRNOG00000015708_E2f4	124.00	210.00	409.00	738.00	124.00
ENSRNOG00000057757_AABR07058501.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000014829_Prmt3	77.00	66.00	125.00	206.00	51.00
ENSRNOG00000047324_LOC100912432	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000054656_AABR07061458.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000029726_Gstm1	2337.00	2343.00	1276.06	1089.99	1648.24
ENSRNOG00000048407_LOC100912070	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000026754_Usp47	1277.00	537.00	1984.00	1322.00	1312.00
ENSRNOG00000020495_Eif3k	765.00	2385.00	854.00	870.00	747.00
ENSRNOG00000046567_AABR07017676.1	0.00	0.00	0.00	1.00	0.00
ENSRNOG00000003846_Pitpna	160.00	956.00	978.00	1896.00	184.00
ENSRNOG00000041381_Mir208b	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000049606_AABR07025900.1	3.00	0.00	0.00	5.00	4.00
ENSRNOG00000011517_Tnfrsf21	900.00	396.00	1164.00	1761.00	901.00
ENSRNOG00000012482_Ndrg4	1564.00	4.00	62.00	53.00	939.00
ENSRNOG00000057900_U1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000019807_Sufu	54.00	33.00	119.00	88.00	38.00
ENSRNOG00000052635_SNORA62	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000029416_AC109942.1	53.00	2.00	39.00	15.00	20.00
ENSRNOG00000023317_Colgalt1	103.00	159.04	310.10	411.00	68.00
ENSRNOG00000036397_AABR07027722.1	0.05	0.00	0.50	0.00	0.31
ENSRNOG00000020110_B4gat1	365.00	177.00	1033.00	821.00	326.00
ENSRNOG00000041199_Mir878	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000012379_Wdr18	827.00	1010.00	982.00	1021.00	713.00
ENSRNOG00000008604_Nsfl1c	1844.00	1130.00	2517.00	1699.00	1617.00
ENSRNOG00000040715_5S_rRNA	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000012329_Saraf	1506.00	2339.00	8454.00	7189.00	1366.00
ENSRNOG00000060153_Spry3	0.00	0.00	0.00	6.00	0.00
ENSRNOG00000004806_Strn	15.00	0.00	117.00	114.00	32.00
ENSRNOG00000061681_AABR07056526.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000021910_Nkx2-6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000030191_Olr1055	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000057620_Slc6a8	353.00	144.00	106.00	149.00	782.00
ENSRNOG00000055015_AABR07015559.1	0.00	0.00	0.00	2.00	1.00
ENSRNOG00000061915_7SK	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000009735_Fibcd1	2.00	0.00	0.00	2.00	0.00
ENSRNOG00000035648_Mir211	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000007332_Sstr3	1.00	12.00	0.00	3.00	0.00
ENSRNOG00000055774_AABR07040285.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000020066_Pcdhb11	57.00	0.00	1.00	0.00	25.00
ENSRNOG00000030431_RT1-Db2	4.00	1.00	4.00	0.00	11.00
ENSRNOG00000015293_Tcte3	0.00	0.00	0.00	4.00	0.00
ENSRNOG00000010011_Osbpl3	817.00	116.00	462.00	420.00	1299.00
ENSRNOG00000030091_Dusp14	703.56	422.00	621.00	311.00	1158.00
ENSRNOG00000046260_LOC688320	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000017621_Spns1	427.00	96.00	452.00	565.00	552.00
ENSRNOG00000022249_Mllt10	108.00	49.00	123.00	159.00	128.00
ENSRNOG00000000841_Ddx39b	1170.00	805.00	1607.00	1588.00	1140.00
ENSRNOG00000058588_Nfxl1	41.00	49.00	356.00	236.00	64.00
ENSRNOG00000013300_Atp5if1	5396.00	12633.00	6238.00	5075.00	5074.00
ENSRNOG00000019918_Coasy	1053.00	314.00	958.00	881.00	1210.00
ENSRNOG00000001862_Ube2l3	4723.00	3861.00	5167.00	4348.00	4699.00
ENSRNOG00000017443_Tmem87b	1275.00	754.00	2372.00	1581.00	1660.00
ENSRNOG00000009870_Tmem88	85.68	91.66	68.29	59.46	202.96
ENSRNOG00000011856_LOC108348154	1.00	3.00	12.00	12.00	2.00
ENSRNOG00000005918_RGD1563941	398.00	935.00	379.00	293.00	403.00
